geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,23.8758269,37.9308599,Feature,[],,,,,2,4,[],Thomas Kalamaris,2024-04-30 21:00:00,Greece,"[""Vodafone""]",200.0,63b537a2-3dce-4373-b718-2be2e96221b1,"[""GR-IX::Athens""]",400.0,Hellas Sat,[],2024-04-30 21:00:00,2024-04-30 21:00:00,2024-04-30 21:00:00,30-04-2024,30-04-2024
Point,23.8726503,37.9011442,Feature,[],,,,,0,1,[],Sparkle,,Greece,[],,073c00d6-b62b-11e5-ad0b-02b4d6763261,[],,Koropi,[],,,,,
Point,23.7909279,38.0284516,Feature,[],,,,,0,1,[],Lamda Hellix Data Centers,,Greece,[],,078c1cac-b62b-11e5-ad0b-02b4d6763261,[],,Athens 1,"[""Vodafone"", ""Verizon"", ""Telefonica International Wholesale Services"", ""PCCW Global"", ""OTEGlobe"", ""Deutsche Telekom"", ""Cyta"", ""Cogent Communications, Inc.""]",,,,,
Point,23.763242,37.988529,Feature,[],,,,,0,1,[],Lamda Hellix Data Centers,,Greece,[],,0788c14f-b62b-11e5-ad0b-02b4d6763261,[],,Athens 2,"[""Cogent Communications, Inc."", ""PCCW Global"", ""OTEGlobe"", ""Cyta"", ""Vodafone"", ""Verizon"", ""Telefonica International Wholesale Services"", ""Deutsche Telekom""]",,,,,
Point,-51.721407,64.18362,Feature,[],,,,,,,[],TELE Greenland,,Greenland,[],,07546ae1-b62b-11e5-ad0b-02b4d6763261,[],,Nuuk,[],,,,,
Point,2.4224496343933177,48.88539751196825,Feature,[],,,,,,,[],TDF,,France,"[""SFR"", ""Orange""]",1600.0,e870bb51-88a0-4d89-90d6-2b65259418ac,[],300.0,TDF Datacenter Paris Fort de Romainville,"[""orange"", ""SFR"", ""Sipartech""]",,,,,
Point,-1.403764,48.100625,Feature,[],,,,"HDS, ISO27001",0,1,[],Blue,,France,[],,e7c295a1-e0b7-42f0-a8b0-ba849c030b93,[],,Blue - Chateaubourg,[],,,,,
Point,2.641542,48.836688,Feature,[],,,,,0,1,[],Sungard,,France,[],1280.0,d3604521-482d-494b-9be3-731100740f42,[],3500.0,Information Campus of Lognes,[],,,,,
Point,2.641542,48.836688,Feature,[],,,,,0,1,[],Sungard,,France,[],150.0,c153f060-2f54-4fb3-a0f1-f66026b862b6,[],1350.0,Lognes Users Center,[],,,,,
Point,-1.0506819,43.7088848,Feature,[],,,,,0,1,[],VILLE DE DAX,,France,[],,cd8e5de3-e0a0-4e4a-acd1-1e0ede967284,[],,Ville de Dax,[],,,,,
Point,-0.3151099,43.3208174,Feature,[],,,,,0,1,[],TOTAL PAU,,France,[],,686691a2-e0f6-43c7-9a4d-b6649a7c89fd,[],,Total Pau,[],,,,,
Point,-0.7034680999999999,44.8476941,Feature,[],,,,,0,1,[],DASSAULT,,France,[],,159e020d-0042-4b05-8aa0-fafdb8515398,[],,Dassault Mérignac,[],,,,,
Point,1.367682,43.6293863,Feature,[],,,,,0,1,[],Aéroport de Toulouse-Blagnac,,France,[],,28da3fd0-028f-4132-b232-8be88978304b,[],,Aéroport de Toulouse-Blagnace,[],,,,,
Point,2.315064,48.748174,Feature,[],,,,,0,1,[],e-tera,,France,[],,078fed31-b62b-11e5-ad0b-02b4d6763261,[],,Fil d'Ariane,[],,,,,
